Gender,Age,Married,Number of Dependents,City,Zip Code,Tenure in Months,Offer,Phone Service,Internet Service,Total Charges,Total Revenue,Customer Status
Female,37,Yes,0,Frazier Park,93225,9,None,Yes,Yes,593.3,974.81,Stayed
Male,46,No,0,Glendale,91206,9,None,Yes,Yes,542.4,610.28,Stayed
Male,50,No,0,Costa Mesa,92627,4,Offer E,Yes,Yes,280.85,415.45,Churned
Male,78,Yes,0,Martinez,94553,13,Offer D,Yes,Yes,1237.85,1599.51,Churned
Female,75,Yes,0,Camarillo,93010,3,None,Yes,Yes,267.4,289.54,Churned
Female,23,No,3,Midpines,95345,9,Offer E,Yes,Yes,571.45,722.38,Stayed
Female,67,Yes,0,Lompoc,93437,71,Offer A,Yes,Yes,7904.25,8611.41,Stayed
Male,52,Yes,0,Napa,94558,63,Offer B,Yes,Yes,5377.8,6214.28,Stayed
Female,68,No,0,Simi Valley,93063,7,Offer E,Yes,Yes,340.35,414.06,Stayed
Female,43,Yes,1,Sheridan,95681,65,None,Yes,Yes,5957.9,7807.8,Stayed
Male,47,No,0,Rancho Santa Fe,92091,54,None,No,Yes,2460.55,2460.55,Stayed
Female,25,Yes,2,Sunnyvale,94086,72,None,Yes,Yes,8456.75,9609.47,Stayed
Female,58,Yes,0,Antelope,95843,5,None,Yes,Yes,351.5,444.75,Stayed
Female,32,No,0,La Mesa,91942,72,Offer A,Yes,Yes,7261.25,7423.25,Stayed
Female,39,No,0,Los Olivos,93441,56,None,No,Yes,2560.1,2560.1,Stayed
Female,58,Yes,2,Woodlake,93286,71,Offer A,Yes,Yes,6849.4,8784.86,Stayed
Female,52,Yes,1,Point Reyes Station,94956,34,None,No,Yes,1993.2,1993.2,Stayed
Female,72,No,0,San Marcos,92078,1,Offer E,Yes,Yes,72.1,79.87,Joined
Male,79,No,0,Daly City,94015,45,None,Yes,Yes,2791.5,3271.65,Churned
Male,67,No,0,Morgan Hill,95037,1,None,No,Yes,25.1,25.1,Churned
Female,79,Yes,0,Ahwahnee,93601,50,None,Yes,No,1306.3,2877.8,Stayed
Female,26,Yes,0,Carnelian Bay,96140,13,None,Yes,Yes,1215.6,1781.88,Churned
Female,30,Yes,2,Alpaugh,93201,23,Offer D,Yes,Yes,1849.95,2652.88,Stayed
Female,22,No,0,Keeler,93530,3,None,Yes,No,57.2,66.56,Joined
Female,34,Yes,0,Korbel,95550,4,Offer E,Yes,No,76.35,126.07,Churned
Female,37,Yes,1,Palomar Mountain,92060,1,None,No,Yes,30.5,30.5,Churned
Female,37,Yes,3,Parlier,93648,55,None,Yes,Yes,5656.75,7603.95,Stayed
Male,42,Yes,3,Modesto,95358,54,None,Yes,No,1090.6,2154.4,Stayed
Male,64,No,0,Glen Ellen,95442,26,Offer C,Yes,No,471.85,1430.8,Stayed
Female,47,Yes,3,Eureka,95503,69,None,Yes,No,1396.9,4045.81,Stayed
Male,23,Yes,3,Moss Beach,94038,37,Offer C,Yes,Yes,3247.55,4838.92,Stayed
Female,48,Yes,0,Los Angeles,90058,49,Offer B,Yes,No,900.9,3330.32,Stayed
Male,28,Yes,0,Los Angeles,90063,66,None,Yes,Yes,7942.15,10830.97,Stayed
Female,28,No,0,Calexico,92231,67,None,Yes,No,1343.4,2861.91,Stayed
Male,33,Yes,1,Redding,96003,20,None,No,Yes,825.4,825.4,Stayed
Female,31,No,3,San Martin,95046,43,None,Yes,No,1070.15,2387.67,Stayed
Female,37,Yes,0,Stockton,95209,55,Offer B,Yes,Yes,4959.6,5239.0,Stayed
Female,60,Yes,0,Los Angeles,90003,59,Offer B,Yes,Yes,5597.65,6564.66,Stayed
Female,48,Yes,3,Huntington Park,90255,12,None,Yes,No,224.5,455.86,Stayed
Male,60,Yes,3,Yermo,92398,27,Offer C,Yes,Yes,1929.0,2611.02,Stayed
Male,69,No,0,San Diego,92129,2,None,Yes,Yes,91.1,179.08,Churned
Female,20,No,0,Fremont,94539,27,Offer C,Yes,Yes,2078.95,3399.52,Stayed
Male,31,Yes,3,Santa Rosa,95405,25,None,Yes,No,630.6,1178.43,Stayed
Male,46,Yes,0,San Jose,95126,25,None,Yes,Yes,1611.0,1727.35,Stayed
Male,57,No,1,Tujunga,91042,29,None,No,Yes,1242.45,1230.19,Stayed
Male,19,Yes,0,Visalia,93291,72,None,Yes,Yes,6316.2,8646.12,Stayed
Female,64,No,0,Lodi,95240,14,None,Yes,Yes,727.85,1064.41,Stayed
Female,38,No,0,El Portal,95318,35,Offer C,Yes,Yes,3532.0,4806.7,Stayed
Male,54,No,0,Calistoga,94515,1,Offer E,Yes,Yes,44.3,87.25,Joined
Male,50,No,0,Farmington,95230,29,None,Yes,Yes,2607.6,2687.05,Stayed
Male,25,No,0,Tulelake,96134,64,None,Yes,Yes,5567.55,5958.91,Stayed
Female,35,Yes,3,Coleville,96107,39,None,Yes,Yes,3767.4,4718.22,Stayed
Female,72,No,0,Ojai,93023,40,None,Yes,Yes,3673.6,5439.2,Stayed
Male,51,No,0,Desert Hot Springs,92241,40,None,Yes,Yes,4036.85,5544.45,Churned
Female,78,No,1,North Hollywood,91605,11,Offer D,Yes,Yes,1120.3,1367.79,Churned
Female,30,Yes,0,Inverness,94937,6,Offer E,Yes,Yes,314.55,570.51,Stayed
Male,58,No,0,Santa Rosa,95404,30,None,Yes,Yes,1888.45,1967.65,Stayed
Male,26,No,0,San Jose,95131,27,None,Yes,No,529.8,1087.62,Stayed
Male,66,Yes,0,Wilmington,90744,70,None,Yes,Yes,7308.95,10067.14,Stayed
Female,20,Yes,0,Modesto,95357,57,Offer B,Yes,Yes,6252.7,6709.27,Stayed
Male,61,Yes,0,San Diego,92113,58,None,Yes,Yes,2878.55,3933.78,Stayed
Male,24,No,0,Rancho Palos Verdes,90275,16,None,Yes,Yes,1212.1,1623.46,Stayed
Female,55,Yes,0,Kenwood,95452,69,Offer A,Yes,Yes,8182.85,10840.73,Stayed
Male,32,No,0,West Point,95255,1,Offer E,Yes,No,19.85,51.62,Churned
Male,59,No,0,Los Angeles,90062,1,None,Yes,Yes,99.75,140.46,Churned
Male,71,Yes,1,Morongo Valley,92256,32,Offer C,Yes,Yes,2861.45,3880.97,Stayed
Male,49,Yes,2,Palo Verde,92266,16,Offer D,Yes,Yes,1442.2,2221.56,Stayed
Male,61,Yes,0,Valyermo,93563,49,Offer B,Yes,Yes,4059.35,5997.3,Churned
Female,40,Yes,0,Cambria,93428,71,Offer A,No,Yes,4145.9,4145.9,Stayed
Female,39,No,0,Round Mountain,96084,33,None,Yes,Yes,3645.5,5285.27,Stayed
Female,21,Yes,0,Klamath,95548,10,Offer D,Yes,No,187.75,683.75,Stayed
Male,24,Yes,0,Fresno,93650,21,None,Yes,Yes,2317.1,3198.56,Churned
Male,52,Yes,1,Angwin,94508,37,None,No,Yes,1448.8,1448.8,Churned
Female,71,No,0,Le Grand,95333,26,None,Yes,Yes,2193.65,3070.89,Stayed
Male,45,No,0,Redway,95560,50,Offer B,No,Yes,1748.9,1748.9,Stayed
Female,29,No,0,San Diego,92122,7,None,Yes,Yes,511.25,698.56,Churned
Female,62,Yes,0,Monterey Park,91755,61,Offer B,Yes,Yes,5526.75,8405.34,Stayed
Male,42,No,0,Big Oak Flat,95305,15,Offer D,Yes,Yes,1553.95,2242.75,Churned
Female,51,No,2,Stevenson Ranch,91381,26,None,No,Yes,1147.0,1147.0,Stayed
Male,39,Yes,0,North Highlands,95660,72,None,Yes,Yes,6747.35,9139.19,Stayed
Male,64,Yes,0,La Puente,91746,44,None,Yes,No,865.05,2070.65,Stayed
Male,55,No,0,Glenhaven,95443,66,Offer A,Yes,Yes,5976.9,9200.36,Stayed
Female,40,No,0,Alhambra,91803,2,None,Yes,Yes,181.65,255.27,Churned
Female,76,No,0,Santa Monica,90403,44,None,Yes,Yes,3268.05,3589.82,Stayed
Female,57,No,0,Lodi,95240,12,Offer D,Yes,Yes,1052.4,1224.96,Churned
Male,71,Yes,0,Los Angeles,90001,69,None,Yes,Yes,7634.25,8904.54,Stayed
Female,25,No,0,Fairfield,94533,1,Offer E,Yes,Yes,80.2,81.43,Churned
Female,24,No,0,Stockton,95204,3,Offer E,Yes,No,63.75,141.0,Churned
Female,19,Yes,0,Temecula,92592,2,None,Yes,Yes,190.5,199.8,Joined
Female,77,No,0,Fallbrook,92028,27,None,Yes,Yes,2401.05,2481.24,Stayed
Male,57,No,0,Randsburg,93554,26,Offer C,Yes,No,511.25,858.09,Stayed
Female,73,Yes,0,Atascadero,93422,39,None,Yes,Yes,3949.15,4735.0,Stayed
Male,41,No,0,Planada,95365,25,None,Yes,Yes,2362.1,3234.1,Churned
Female,43,No,0,Moorpark,93021,1,Offer E,Yes,Yes,70.9,110.71,Churned
Male,48,Yes,0,Solvang,93463,22,Offer D,Yes,Yes,1152.7,1751.98,Churned
Female,56,No,0,Calistoga,94515,72,Offer A,Yes,Yes,8496.7,11979.34,Stayed
Female,51,No,0,La Mirada,90638,24,None,Yes,No,470.2,725.56,Stayed
Female,34,Yes,0,Boron,93516,19,None,Yes,Yes,1564.4,1713.36,Stayed
Male,21,Yes,2,San Marcos,92078,71,None,Yes,No,1847.55,2500.75,Stayed
Male,78,Yes,0,Desert Center,92239,33,None,Yes,Yes,3694.7,4524.65,Stayed
Female,60,No,0,Crows Landing,95313,3,None,Yes,No,58.0,66.07,Joined
Male,54,Yes,1,Tuolumne,95379,47,None,Yes,Yes,4017.45,4068.68,Stayed
Male,42,Yes,3,San Diego,92120,62,None,Yes,Yes,6825.65,6934.77,Stayed
Male,22,No,0,Auburn,95603,71,None,Yes,Yes,8309.55,8514.03,Stayed
Male,71,Yes,0,Fresno,93725,7,None,Yes,Yes,605.45,899.24,Stayed
Female,56,Yes,2,Del Rey,93616,27,Offer C,Yes,Yes,1972.35,3232.17,Stayed
Male,33,No,0,Redwood City,94065,2,None,Yes,No,33.7,37.32,Joined
Female,32,No,3,Landers,92285,25,Offer C,No,Yes,844.45,844.45,Stayed
Male,80,No,0,Hawthorne,90250,30,None,Yes,Yes,2111.3,3269.6,Stayed
Female,73,Yes,0,Oceano,93445,58,None,Yes,Yes,6205.5,7188.02,Churned
Male,26,Yes,0,Armona,93202,10,Offer D,Yes,Yes,855.3,975.5,Churned
Female,59,No,0,Clarksburg,95612,9,None,Yes,Yes,633.85,717.28,Stayed
Female,78,Yes,0,Irvine,92620,6,None,Yes,Yes,474.9,647.16,Churned
Female,47,Yes,1,Scotts Valley,95066,69,None,Yes,Yes,5848.6,8574.08,Stayed
Female,68,No,0,Salida,95368,66,None,Yes,Yes,6471.85,7161.55,Stayed
Female,30,No,0,Mckinleyville,95519,70,Offer A,Yes,Yes,8127.6,8842.3,Churned
Male,62,No,0,Atherton,94027,25,Offer C,Yes,No,676.35,815.6,Churned
Female,52,Yes,2,Huntington Beach,92649,46,Offer B,Yes,No,864.2,1983.38,Stayed
Female,63,Yes,0,Calimesa,92320,54,Offer B,Yes,Yes,6049.5,6665.1,Stayed
Female,54,No,0,Daly City,94014,15,None,Yes,Yes,1582.75,1918.6,Churned
Female,48,Yes,1,Middletown,95461,12,Offer D,Yes,No,198.1,297.1,Stayed
Female,51,No,0,Berkeley,94705,22,None,No,Yes,1098.85,1098.85,Stayed
Female,22,Yes,0,Lost Hills,93249,70,None,No,Yes,4039.3,4038.29,Stayed
Male,52,No,0,Garden Grove,92844,30,Offer C,Yes,Yes,2438.6,3310.5,Stayed
Male,22,Yes,1,Indio,92203,71,Offer A,Yes,Yes,7113.75,9108.9,Stayed
Male,33,Yes,0,Oxnard,93033,30,None,Yes,No,576.65,870.95,Stayed
Male,26,Yes,0,San Diego,92122,4,Offer E,Yes,Yes,371.9,486.98,Churned
Male,58,No,0,Escondido,92027,2,Offer E,Yes,Yes,167.3,195.58,Churned
Male,22,No,1,Moreno Valley,92553,10,None,Yes,No,219.5,298.1,Stayed
Male,66,No,0,Chino,91710,4,Offer E,Yes,Yes,273.4,419.0,Stayed
Male,69,No,0,Sacramento,95820,52,Offer B,No,Yes,2555.05,2555.05,Stayed
Male,25,No,0,San Diego,92117,5,None,Yes,Yes,223.15,333.2,Churned
Male,30,Yes,3,Turlock,95380,8,Offer E,Yes,No,165.5,188.46,Stayed
Female,73,No,0,Calexico,92231,2,Offer E,Yes,Yes,89.3,137.12,Joined
Male,46,No,0,Groveland,95321,3,Offer E,Yes,Yes,235.05,276.21,Joined
Male,40,No,0,Los Gatos,95033,19,Offer D,Yes,Yes,1144.6,1369.75,Stayed
Male,53,No,0,Clovis,93611,72,Offer A,Yes,Yes,4908.25,5171.77,Stayed
Male,76,Yes,0,Hyampom,96046,63,Offer B,No,Yes,2298.9,2298.9,Stayed
Male,38,Yes,0,Woodland Hills,91364,66,None,No,Yes,3789.2,3789.2,Stayed
Male,23,No,0,Temecula,92592,1,None,Yes,Yes,75.9,120.46,Churned
Female,24,No,0,Livingston,95334,60,None,Yes,Yes,4765.0,5682.4,Stayed
Female,43,Yes,3,Tulare,93274,48,None,No,Yes,2196.3,2196.3,Stayed
Female,45,No,0,Buellton,93427,1,Offer E,Yes,Yes,85.55,118.89,Churned
Male,49,No,0,Palmdale,93552,15,None,Yes,Yes,1444.65,2178.6,Churned
Female,62,Yes,0,Midway City,92655,50,Offer B,Yes,Yes,5405.8,7134.3,Stayed
Male,25,Yes,1,Folsom,95630,72,Offer A,Yes,Yes,6339.3,8769.3,Stayed
Female,37,No,0,Oakland,94619,46,None,Yes,Yes,3847.6,5938.02,Stayed
Female,35,Yes,1,San Anselmo,94960,72,None,Yes,Yes,6733.0,8893.0,Stayed
Male,37,Yes,3,Duarte,91010,1,None,Yes,No,19.7,53.98,Joined
Female,19,No,0,Lake Elsinore,92530,1,None,Yes,Yes,50.1,79.23,Joined
Female,69,No,0,San Clemente,92672,67,Offer A,Yes,Yes,6140.85,6313.04,Stayed
Female,44,Yes,1,Los Angeles,90004,48,None,Yes,Yes,3870.3,4299.42,Stayed
Female,19,No,0,Downey,90241,72,None,Yes,Yes,7624.2,10641.72,Stayed
Male,64,Yes,0,Bodega Bay,94923,52,Offer B,Yes,Yes,4354.45,6504.13,Stayed
Female,44,Yes,3,Challenge,95925,67,Offer A,Yes,Yes,3431.75,6574.05,Stayed
Female,58,Yes,0,Ludlow,92338,28,Offer C,Yes,Yes,2227.1,2698.9,Churned
Female,29,Yes,1,Santa Clara,95051,32,Offer C,Yes,Yes,2045.55,3110.51,Stayed
Female,80,Yes,0,Perris,92571,27,None,Yes,Yes,1929.35,2118.89,Churned
Male,22,No,0,Fortuna,95540,3,None,Yes,Yes,268.45,362.89,Joined
Male,22,No,0,San Diego,92122,2,Offer E,Yes,Yes,181.5,262.36,Churned
Female,50,No,2,San Dimas,91773,9,None,Yes,Yes,651.4,970.81,Churned
Male,53,Yes,2,Rescue,95672,50,Offer B,Yes,Yes,3486.65,5711.15,Stayed
Female,45,Yes,2,Clio,96106,71,None,Yes,No,1389.6,3592.73,Stayed
Male,76,Yes,0,San Diego,92122,32,Offer C,Yes,Yes,2303.35,3818.23,Churned
Female,57,Yes,3,Lotus,95651,16,Offer D,Yes,Yes,1522.7,1959.02,Stayed
Female,45,Yes,3,San Marcos,92078,67,Offer A,Yes,Yes,6717.9,7909.83,Stayed
Male,43,Yes,1,Lompoc,93436,72,None,Yes,Yes,8058.55,9206.23,Stayed
Female,41,No,0,Pilot Hill,95664,3,Offer E,Yes,No,58.85,132.74,Churned
Male,22,Yes,3,San Francisco,94133,23,None,Yes,No,538.5,1642.96,Stayed
Male,62,Yes,2,Mission Hills,91345,72,None,Yes,Yes,5102.35,7119.75,Stayed
Male,21,Yes,2,Los Angeles,90040,7,Offer E,No,Yes,465.7,465.7,Stayed
Male,49,Yes,3,Harbor City,90710,8,Offer E,Yes,Yes,475.1,487.58,Stayed
Male,33,Yes,4,San Francisco,94108,66,Offer A,No,Yes,3364.55,3474.55,Stayed
Male,30,No,0,Inglewood,90301,5,Offer E,Yes,No,113.85,285.15,Churned
Male,38,No,1,Los Angeles,90015,49,None,Yes,Yes,5036.3,7208.47,Churned
Male,56,Yes,0,Pescadero,94060,63,Offer B,Yes,No,1234.8,3651.48,Stayed
Female,70,Yes,1,Aromas,95004,12,Offer D,No,Yes,355.9,355.9,Stayed
Male,54,Yes,6,Badger,93603,27,None,Yes,Yes,1510.3,2487.43,Stayed
Female,57,No,0,Parlier,93648,35,None,Yes,Yes,1982.6,3550.95,Stayed
Female,40,Yes,2,Death Valley,92328,54,Offer B,Yes,Yes,4524.05,4757.87,Stayed
Male,56,No,0,La Puente,91744,1,None,Yes,Yes,95.45,101.04,Churned
Male,38,No,0,Riverdale,93656,5,Offer E,Yes,Yes,318.1,387.9,Stayed
Male,61,No,0,San Francisco,94104,19,None,Yes,Yes,1231.85,2085.86,Stayed
Male,35,Yes,2,Berry Creek,95916,52,None,No,Yes,2554.0,2526.99,Stayed
Female,61,Yes,3,Fulton,95439,72,None,No,Yes,4684.3,4684.3,Stayed
Male,50,No,0,Capitola,95010,32,None,Yes,No,614.45,1081.84,Stayed
Female,47,Yes,0,San Diego,92109,8,None,Yes,Yes,842.9,977.94,Churned
Male,35,No,0,Claremont,91711,41,Offer B,Yes,Yes,2531.8,4211.35,Stayed
Male,32,No,0,Glendale,91207,5,None,Yes,No,86.05,191.1,Stayed
